fold,epoch,architecture,regularization,loss,acc,val_acc,val_loss,precision_macro,precision_micro,recall_macro,recall_micro,labels_1_vp,labels_1_fp,labels_1_fn,labels_1_precision,labels_1_recall,labels_1_f_measure,labels_0_vp,labels_0_fp,labels_0_fn,labels_0_precision,labels_0_recall,labels_0_f_measure
1,1,"[30, 1, 2]",0.1,1.5057959728015962,0.38596491228070173,0.25,1.5705672282079184,0.125,0.25,0.5,0.25,14,42,0,0.25,1.0,0.4,0,0,42,0.0,0.0,0.0
1,2,"[30, 1, 2]",0.1,1.4855032051008796,0.38596491228070173,0.25,1.5403170618781539,0.125,0.25,0.5,0.25,14,42,0,0.25,1.0,0.4,0,0,42,0.0,0.0,0.0
1,3,"[30, 1, 2]",0.1,1.4592615819627108,0.38596491228070173,0.25,1.5001811831868888,0.125,0.25,0.5,0.25,14,42,0,0.25,1.0,0.4,0,0,42,0.0,0.0,0.0
1,4,"[30, 1, 2]",0.1,1.4303835506712061,0.6510721247563352,0.6785714285714286,1.4542309132645976,0.5304347826086957,0.6785714285714286,0.5238095238095238,0.6785714285714286,3,7,11,0.3,0.21428571428571427,0.25,35,11,7,0.7608695652173914,0.8333333333333334,0.7954545454545455
1,5,"[30, 1, 2]",0.1,1.402052730680494,0.6140350877192983,0.75,1.406438373734051,0.375,0.75,0.5,0.75,0,0,14,0.0,0.0,0.0,42,14,0,0.75,1.0,0.8571428571428571
1,6,"[30, 1, 2]",0.1,1.3769501000486768,0.6140350877192983,0.75,1.360288607015579,0.375,0.75,0.5,0.75,0,0,14,0.0,0.0,0.0,42,14,0,0.75,1.0,0.8571428571428571
1,7,"[30, 1, 2]",0.1,1.3569621573973574,0.6140350877192983,0.75,1.3184694288127494,0.375,0.75,0.5,0.75,0,0,14,0.0,0.0,0.0,42,14,0,0.75,1.0,0.8571428571428571
1,8,"[30, 1, 2]",0.1,1.3430280873770382,0.6140350877192983,0.75,1.2826947428260151,0.375,0.75,0.5,0.75,0,0,14,0.0,0.0,0.0,42,14,0,0.75,1.0,0.8571428571428571
1,9,"[30, 1, 2]",0.1,1.335157233587002,0.6140350877192983,0.75,1.2536939435978482,0.375,0.75,0.5,0.75,0,0,14,0.0,0.0,0.0,42,14,0,0.75,1.0,0.8571428571428571
1,10,"[30, 1, 2]",0.1,1.3326004148069666,0.6140350877192983,0.75,1.2313549349050732,0.375,0.75,0.5,0.75,0,0,14,0.0,0.0,0.0,42,14,0,0.75,1.0,0.8571428571428571
1,11,"[30, 1, 2]",0.1,1.334115492535763,0.6140350877192983,0.75,1.2149662072994265,0.375,0.75,0.5,0.75,0,0,14,0.0,0.0,0.0,42,14,0,0.75,1.0,0.8571428571428571
1,12,"[30, 1, 2]",0.1,1.3382519770778722,0.6140350877192983,0.75,1.2034865847167973,0.375,0.75,0.5,0.75,0,0,14,0.0,0.0,0.0,42,14,0,0.75,1.0,0.8571428571428571
1,13,"[30, 1, 2]",0.1,1.3435938834863197,0.6140350877192983,0.75,1.1957831082788872,0.375,0.75,0.5,0.75,0,0,14,0.0,0.0,0.0,42,14,0,0.75,1.0,0.8571428571428571
1,14,"[30, 1, 2]",0.1,1.3489296572115088,0.6140350877192983,0.75,1.1908047267851356,0.375,0.75,0.5,0.75,0,0,14,0.0,0.0,0.0,42,14,0,0.75,1.0,0.8571428571428571
1,15,"[30, 1, 2]",0.1,1.353345523699772,0.6140350877192983,0.75,1.1876856941583402,0.375,0.75,0.5,0.75,0,0,14,0.0,0.0,0.0,42,14,0,0.75,1.0,0.8571428571428571
1,16,"[30, 1, 2]",0.1,1.3562551505926637,0.6140350877192983,0.75,1.185788950453516,0.375,0.75,0.5,0.75,0,0,14,0.0,0.0,0.0,42,14,0,0.75,1.0,0.8571428571428571
1,17,"[30, 1, 2]",0.1,1.3573840197111333,0.6140350877192983,0.75,1.1847057963836056,0.375,0.75,0.5,0.75,0,0,14,0.0,0.0,0.0,42,14,0,0.75,1.0,0.8571428571428571
1,18,"[30, 1, 2]",0.1,1.3567255609668698,0.6140350877192983,0.75,1.1842275482584572,0.375,0.75,0.5,0.75,0,0,14,0.0,0.0,0.0,42,14,0,0.75,1.0,0.8571428571428571
1,19,"[30, 1, 2]",0.1,1.3544821386538706,0.6140350877192983,0.75,1.184301525861224,0.375,0.75,0.5,0.75,0,0,14,0.0,0.0,0.0,42,14,0,0.75,1.0,0.8571428571428571
1,20,"[30, 1, 2]",0.1,1.3510000378114355,0.6140350877192983,0.75,1.1849802110126433,0.375,0.75,0.5,0.75,0,0,14,0.0,0.0,0.0,42,14,0,0.75,1.0,0.8571428571428571
1,21,"[30, 1, 2]",0.1,1.3467047391600673,0.6140350877192983,0.75,1.1863697862947737,0.375,0.75,0.5,0.75,0,0,14,0.0,0.0,0.0,42,14,0,0.75,1.0,0.8571428571428571
1,22,"[30, 1, 2]",0.1,1.3420410697427276,0.6140350877192983,0.75,1.188582639694702,0.375,0.75,0.5,0.75,0,0,14,0.0,0.0,0.0,42,14,0,0.75,1.0,0.8571428571428571
1,23,"[30, 1, 2]",0.1,1.337421885129305,0.6140350877192983,0.75,1.1916974672988303,0.375,0.75,0.5,0.75,0,0,14,0.0,0.0,0.0,42,14,0,0.75,1.0,0.8571428571428571
1,24,"[30, 1, 2]",0.1,1.3331882708766365,0.6140350877192983,0.75,1.1957298674322347,0.375,0.75,0.5,0.75,0,0,14,0.0,0.0,0.0,42,14,0,0.75,1.0,0.8571428571428571
1,25,"[30, 1, 2]",0.1,1.3295834250515115,0.6140350877192983,0.75,1.2006154212629032,0.375,0.75,0.5,0.75,0,0,14,0.0,0.0,0.0,42,14,0,0.75,1.0,0.8571428571428571
1,26,"[30, 1, 2]",0.1,1.3267411871826784,0.6140350877192983,0.75,1.2062060199023958,0.375,0.75,0.5,0.75,0,0,14,0.0,0.0,0.0,42,14,0,0.75,1.0,0.8571428571428571
1,27,"[30, 1, 2]",0.1,1.3246886549322814,0.6140350877192983,0.75,1.2122786886382457,0.375,0.75,0.5,0.75,0,0,14,0.0,0.0,0.0,42,14,0,0.75,1.0,0.8571428571428571
1,28,"[30, 1, 2]",0.1,1.3233607377989622,0.6140350877192983,0.75,1.2185546340401834,0.375,0.75,0.5,0.75,0,0,14,0.0,0.0,0.0,42,14,0,0.75,1.0,0.8571428571428571
1,29,"[30, 1, 2]",0.1,1.3226231947653773,0.6140350877192983,0.75,1.224725038495937,0.375,0.75,0.5,0.75,0,0,14,0.0,0.0,0.0,42,14,0,0.75,1.0,0.8571428571428571
1,30,"[30, 1, 2]",0.1,1.3222999926266803,0.6140350877192983,0.75,1.2304795248833549,0.375,0.75,0.5,0.75,0,0,14,0.0,0.0,0.0,42,14,0,0.75,1.0,0.8571428571428571
1,31,"[30, 1, 2]",0.1,1.3222008342208653,0.6140350877192983,0.75,1.2355333170481524,0.375,0.75,0.5,0.75,0,0,14,0.0,0.0,0.0,42,14,0,0.75,1.0,0.8571428571428571
1,32,"[30, 1, 2]",0.1,1.322145366629362,0.6140350877192983,0.75,1.2396498401692861,0.375,0.75,0.5,0.75,0,0,14,0.0,0.0,0.0,42,14,0,0.75,1.0,0.8571428571428571
1,33,"[30, 1, 2]",0.1,1.3219816631848509,0.6140350877192983,0.75,1.242656610524875,0.375,0.75,0.5,0.75,0,0,14,0.0,0.0,0.0,42,14,0,0.75,1.0,0.8571428571428571
1,34,"[30, 1, 2]",0.1,1.3215978014317098,0.6140350877192983,0.75,1.2444534845647186,0.375,0.75,0.5,0.75,0,0,14,0.0,0.0,0.0,42,14,0,0.75,1.0,0.8571428571428571
1,35,"[30, 1, 2]",0.1,1.320926491081523,0.6140350877192983,0.75,1.2450134423406747,0.375,0.75,0.5,0.75,0,0,14,0.0,0.0,0.0,42,14,0,0.75,1.0,0.8571428571428571
1,36,"[30, 1, 2]",0.1,1.3199435875689203,0.6140350877192983,0.75,1.2443769271177514,0.375,0.75,0.5,0.75,0,0,14,0.0,0.0,0.0,42,14,0,0.75,1.0,0.8571428571428571
1,37,"[30, 1, 2]",0.1,1.3186618964441243,0.6140350877192983,0.75,1.242641298102714,0.375,0.75,0.5,0.75,0,0,14,0.0,0.0,0.0,42,14,0,0.75,1.0,0.8571428571428571
1,38,"[30, 1, 2]",0.1,1.317121939578433,0.6140350877192983,0.75,1.2399471897736143,0.375,0.75,0.5,0.75,0,0,14,0.0,0.0,0.0,42,14,0,0.75,1.0,0.8571428571428571
1,39,"[30, 1, 2]",0.1,1.3153813634015923,0.6140350877192983,0.75,1.2364635587514468,0.375,0.75,0.5,0.75,0,0,14,0.0,0.0,0.0,42,14,0,0.75,1.0,0.8571428571428571
1,40,"[30, 1, 2]",0.1,1.313504484693831,0.6140350877192983,0.75,1.232372999922548,0.375,0.75,0.5,0.75,0,0,14,0.0,0.0,0.0,42,14,0,0.75,1.0,0.8571428571428571
1,41,"[30, 1, 2]",0.1,1.31155315480869,0.6140350877192983,0.75,1.2278585899531465,0.375,0.75,0.5,0.75,0,0,14,0.0,0.0,0.0,42,14,0,0.75,1.0,0.8571428571428571
1,42,"[30, 1, 2]",0.1,1.3095797385405303,0.6140350877192983,0.75,1.223093125970316,0.375,0.75,0.5,0.75,0,0,14,0.0,0.0,0.0,42,14,0,0.75,1.0,0.8571428571428571
1,43,"[30, 1, 2]",0.1,1.3076226033238794,0.6140350877192983,0.75,1.21823122162178,0.375,0.75,0.5,0.75,0,0,14,0.0,0.0,0.0,42,14,0,0.75,1.0,0.8571428571428571
1,44,"[30, 1, 2]",0.1,1.3057041448670244,0.6140350877192983,0.75,1.2134043466189068,0.375,0.75,0.5,0.75,0,0,14,0.0,0.0,0.0,42,14,0,0.75,1.0,0.8571428571428571
1,45,"[30, 1, 2]",0.1,1.303831073461133,0.6140350877192983,0.75,1.208718584610425,0.375,0.75,0.5,0.75,0,0,14,0.0,0.0,0.0,42,14,0,0.75,1.0,0.8571428571428571
1,46,"[30, 1, 2]",0.1,1.3019964747328054,0.6140350877192983,0.75,1.2042546610681168,0.375,0.75,0.5,0.75,0,0,14,0.0,0.0,0.0,42,14,0,0.75,1.0,0.8571428571428571
1,47,"[30, 1, 2]",0.1,1.3001830481544179,0.6140350877192983,0.75,1.2000696669071533,0.375,0.75,0.5,0.75,0,0,14,0.0,0.0,0.0,42,14,0,0.75,1.0,0.8571428571428571
1,48,"[30, 1, 2]",0.1,1.298366910281172,0.6140350877192983,0.75,1.1961998700487977,0.375,0.75,0.5,0.75,0,0,14,0.0,0.0,0.0,42,14,0,0.75,1.0,0.8571428571428571
1,49,"[30, 1, 2]",0.1,1.2965214100605416,0.6140350877192983,0.75,1.1926640501294872,0.375,0.75,0.5,0.75,0,0,14,0.0,0.0,0.0,42,14,0,0.75,1.0,0.8571428571428571
1,50,"[30, 1, 2]",0.1,1.2946205165853921,0.6140350877192983,0.75,1.1894668883989927,0.375,0.75,0.5,0.75,0,0,14,0.0,0.0,0.0,42,14,0,0.75,1.0,0.8571428571428571
1,51,"[30, 1, 2]",0.1,1.2926414797032455,0.6140350877192983,0.75,1.1866020709929346,0.375,0.75,0.5,0.75,0,0,14,0.0,0.0,0.0,42,14,0,0.75,1.0,0.8571428571428571
1,52,"[30, 1, 2]",0.1,1.2905666079753917,0.6140350877192983,0.75,1.1840548968962255,0.375,0.75,0.5,0.75,0,0,14,0.0,0.0,0.0,42,14,0,0.75,1.0,0.8571428571428571
1,53,"[30, 1, 2]",0.1,1.2883841388911315,0.6140350877192983,0.75,1.181804304557982,0.375,0.75,0.5,0.75,0,0,14,0.0,0.0,0.0,42,14,0,0.75,1.0,0.8571428571428571
