architecture,regularization,examples,loss,acc,val_acc,val_loss
"[13, 2, 3]",0.1,5,3.8446358694180254,0.2,0.47058823529411764,2.671476322414015
"[13, 2, 3]",0.1,10,4.064682224147574,0.1,0.47058823529411764,2.6620228625271722
"[13, 2, 3]",0.1,15,3.8988915952852836,0.2,0.47058823529411764,2.665474045066073
"[13, 2, 3]",0.1,20,3.462740452453038,0.3,0.47058823529411764,2.677139958630795
"[13, 2, 3]",0.1,25,3.1513298087486064,0.4,0.47058823529411764,2.685484158157059
"[13, 2, 3]",0.1,30,3.0463587357341573,0.4,0.47058823529411764,2.6887876036600518
"[13, 2, 3]",0.1,35,3.1490054213202345,0.37142857142857144,0.47058823529411764,2.6855118509972398
"[13, 2, 3]",0.1,40,3.1582461695705497,0.35,0.47058823529411764,2.685401499649689
"[13, 2, 3]",0.1,45,3.083739642249616,0.35555555555555557,0.47058823529411764,2.6876264516021
"[13, 2, 3]",0.1,50,3.092433024760208,0.36,0.47058823529411764,2.687303033309518
"[13, 2, 3]",0.1,55,3.07119854193035,0.36363636363636365,0.47058823529411764,2.687835928485797
"[13, 2, 3]",0.1,60,3.017493366089414,0.38333333333333336,0.47058823529411764,2.6892092722148035
"[13, 2, 3]",0.1,65,3.00014043839717,0.38461538461538464,0.47058823529411764,2.6894689270531593
"[13, 2, 3]",0.1,70,3.017992755902163,0.38571428571428573,0.47058823529411764,2.6890053398982974
"[13, 2, 3]",0.1,75,2.9843025575264233,0.38666666666666666,0.47058823529411764,2.690078045457783
"[13, 2, 3]",0.1,80,2.956352560768246,0.4,0.47058823529411764,2.6906050459734696
"[13, 2, 3]",0.1,85,2.8981530088603895,0.4235294117647059,0.47058823529411764,2.692148433079804
"[13, 2, 3]",0.1,90,2.887658180031875,0.43333333333333335,0.47058823529411764,2.69248103896204
"[13, 2, 3]",0.1,95,2.9110326137976714,0.43157894736842106,0.47058823529411764,2.691655970905212
"[13, 2, 3]",0.1,100,2.937055854999031,0.42,0.47058823529411764,2.690804479119242
"[13, 2, 3]",0.1,105,2.91394093010699,0.41904761904761906,0.47058823529411764,2.691488869725192
"[13, 2, 3]",0.1,110,2.9198746221230647,0.41818181818181815,0.47058823529411764,2.6911267349009798
"[13, 2, 3]",0.1,115,2.9020522397520057,0.41739130434782606,0.47058823529411764,2.691741976611519
"[13, 2, 3]",0.1,120,2.8790608359499443,0.425,0.47058823529411764,2.692334943669604
"[13, 2, 3]",0.1,125,2.9203630832085454,0.416,0.47058823529411764,2.6911262717289737
"[13, 2, 3]",0.1,130,2.9762873924343136,0.4,0.47058823529411764,2.6895331133585847
"[13, 2, 3]",0.1,135,2.9597436915035606,0.4,0.47058823529411764,2.6900622431787675
"[13, 2, 3]",0.1,140,2.9840972831356742,0.38571428571428573,0.47058823529411764,2.6894690635780276
"[13, 2, 3]",0.1,145,2.978915854107571,0.38620689655172413,0.47058823529411764,2.6897034003626716
"[13, 2, 3]",0.1,150,2.998725225566592,0.38,0.47058823529411764,2.6891493154025983
"[13, 2, 3]",0.1,155,2.9779050675138117,0.3870967741935484,0.47058823529411764,2.6896950861597895
"[13, 2, 3]",0.1,160,2.957882036806694,0.39375,0.47058823529411764,2.690264656052401
"[13, 2, 3]",0.1,165,2.960354202592836,0.391304347826087,0.47058823529411764,2.690197839990918
