tree_amount,attribute_amount,accuracy,error_rate,precision_macro,precision_micro,recall_macro,recall_micro,labels_g_vp,labels_g_fp,labels_g_fn,labels_g_precision,labels_g_recall,labels_g_f_measure,labels_b_vp,labels_b_fp,labels_b_fn,labels_b_precision,labels_b_recall,labels_b_f_measure
10,5,0.9142857142857143,0.08571428571428574,0.9128787878787878,0.9142857142857143,0.894927536231884,0.9142857142857143,22,2,1,0.9166666666666666,0.9565217391304348,0.9361702127659574,10,1,2,0.9090909090909091,0.8333333333333334,0.8695652173913043
10,5,0.9428571428571428,0.05714285714285716,0.9416666666666667,0.9428571428571428,0.9416666666666667,0.9428571428571428,19,1,1,0.95,0.95,0.9500000000000001,14,1,1,0.9333333333333333,0.9333333333333333,0.9333333333333333
10,5,0.9428571428571428,0.05714285714285716,0.9252136752136753,0.9428571428571428,0.9252136752136753,0.9428571428571428,25,1,1,0.9615384615384616,0.9615384615384616,0.9615384615384616,8,1,1,0.8888888888888888,0.8888888888888888,0.8888888888888888
10,5,0.9142857142857143,0.08571428571428574,0.94,0.9142857142857143,0.8846153846153846,0.9142857142857143,22,3,0,0.88,1.0,0.9361702127659575,10,0,3,1.0,0.7692307692307693,0.8695652173913044
10,5,0.9428571428571428,0.05714285714285716,0.9615384615384616,0.9428571428571428,0.9090909090909092,0.9428571428571428,24,2,0,0.9230769230769231,1.0,0.9600000000000001,9,0,2,1.0,0.8181818181818182,0.9
10,5,0.9142857142857143,0.08571428571428574,0.8696581196581197,0.9142857142857143,0.900462962962963,0.9142857142857143,25,1,2,0.9615384615384616,0.9259259259259259,0.9433962264150944,7,2,1,0.7777777777777778,0.875,0.823529411764706
10,5,0.8571428571428571,0.1428571428571429,0.8536184210526316,0.8571428571428571,0.8583333333333334,0.8571428571428571,17,2,3,0.8947368421052632,0.85,0.8717948717948718,13,3,2,0.8125,0.8666666666666667,0.8387096774193549
10,5,0.9142857142857143,0.08571428571428574,0.9166666666666667,0.9142857142857143,0.9083333333333333,0.9142857142857143,19,2,1,0.9047619047619048,0.95,0.9268292682926829,13,1,2,0.9285714285714286,0.8666666666666667,0.896551724137931
10,5,0.8285714285714286,0.17142857142857137,0.8500000000000001,0.8285714285714286,0.7976190476190477,0.8285714285714286,20,5,1,0.8,0.9523809523809523,0.8695652173913043,9,1,5,0.9,0.6428571428571429,0.75
10,5,0.9444444444444444,0.05555555555555558,0.9415584415584416,0.9444444444444444,0.9415584415584416,0.9444444444444444,21,1,1,0.9545454545454546,0.9545454545454546,0.9545454545454546,13,1,1,0.9285714285714286,0.9285714285714286,0.9285714285714286
15,5,0.8857142857142857,0.11428571428571432,0.8920454545454546,0.8857142857142857,0.8618881118881119,0.8857142857142857,21,3,1,0.875,0.9545454545454546,0.9130434782608695,10,1,3,0.9090909090909091,0.7692307692307693,0.8333333333333333
15,5,0.8857142857142857,0.11428571428571432,0.9259259259259259,0.8857142857142857,0.8333333333333333,0.8857142857142857,23,4,0,0.8518518518518519,1.0,0.92,8,0,4,1.0,0.6666666666666666,0.8
15,5,0.8857142857142857,0.11428571428571432,0.8776223776223776,0.8857142857142857,0.8776223776223776,0.8857142857142857,20,2,2,0.9090909090909091,0.9090909090909091,0.9090909090909091,11,2,2,0.8461538461538461,0.8461538461538461,0.8461538461538461
15,5,0.9142857142857143,0.08571428571428574,0.9375,0.9142857142857143,0.8928571428571428,0.9142857142857143,21,3,0,0.875,1.0,0.9333333333333333,11,0,3,1.0,0.7857142857142857,0.88
15,5,0.8857142857142857,0.11428571428571432,0.875,0.8857142857142857,0.8141025641025641,0.8857142857142857,25,3,1,0.8928571428571429,0.9615384615384616,0.9259259259259259,6,1,3,0.8571428571428571,0.6666666666666666,0.75
15,5,0.8857142857142857,0.11428571428571432,0.9285714285714286,0.8857142857142857,0.8181818181818181,0.8857142857142857,24,4,0,0.8571428571428571,1.0,0.923076923076923,7,0,4,1.0,0.6363636363636364,0.7777777777777778
15,5,0.9142857142857143,0.08571428571428574,0.94,0.9142857142857143,0.8846153846153846,0.9142857142857143,22,3,0,0.88,1.0,0.9361702127659575,10,0,3,1.0,0.7692307692307693,0.8695652173913044
15,5,0.8857142857142857,0.11428571428571432,0.8928571428571428,0.8857142857142857,0.8799342105263157,0.8857142857142857,18,3,1,0.8571428571428571,0.9473684210526315,0.9,13,1,3,0.9285714285714286,0.8125,0.8666666666666666
15,5,0.9428571428571428,0.05714285714285716,0.96,0.9428571428571428,0.9166666666666667,0.9428571428571428,23,2,0,0.92,1.0,0.9583333333333334,10,0,2,1.0,0.8333333333333334,0.9090909090909091
15,5,0.9166666666666666,0.08333333333333337,0.9423076923076923,0.9166666666666666,0.8846153846153846,0.9166666666666666,23,3,0,0.8846153846153846,1.0,0.9387755102040816,10,0,3,1.0,0.7692307692307693,0.8695652173913044
20,5,0.9714285714285714,0.02857142857142858,0.98,0.9714285714285714,0.9545454545454546,0.9714285714285714,24,1,0,0.96,1.0,0.9795918367346939,10,0,1,1.0,0.9090909090909091,0.9523809523809523
20,5,0.8571428571428571,0.1428571428571429,0.9,0.8571428571428571,0.8333333333333333,0.8571428571428571,20,5,0,0.8,1.0,0.888888888888889,10,0,5,1.0,0.6666666666666666,0.8
20,5,0.8285714285714286,0.17142857142857137,0.9,0.8285714285714286,0.7272727272727273,0.8285714285714286,24,6,0,0.8,1.0,0.888888888888889,5,0,6,1.0,0.45454545454545453,0.625
20,5,0.9142857142857143,0.08571428571428574,0.916083916083916,0.9142857142857143,0.9047619047619047,0.9142857142857143,20,2,1,0.9090909090909091,0.9523809523809523,0.9302325581395349,12,1,2,0.9230769230769231,0.8571428571428571,0.888888888888889
20,5,0.8857142857142857,0.11428571428571432,0.9259259259259259,0.8857142857142857,0.8333333333333333,0.8857142857142857,23,4,0,0.8518518518518519,1.0,0.92,8,0,4,1.0,0.6666666666666666,0.8
20,5,0.9142857142857143,0.08571428571428574,0.9423076923076923,0.9142857142857143,0.875,0.9142857142857143,23,3,0,0.8846153846153846,1.0,0.9387755102040816,9,0,3,1.0,0.75,0.8571428571428571
20,5,1.0,0.0,1.0,1.0,1.0,1.0,24,0,0,1.0,1.0,1.0,11,0,0,1.0,1.0,1.0
20,5,0.9142857142857143,0.08571428571428574,0.9083333333333333,0.9142857142857143,0.9166666666666667,0.9142857142857143,19,1,2,0.95,0.9047619047619048,0.9268292682926829,13,2,1,0.8666666666666667,0.9285714285714286,0.896551724137931
20,5,0.9428571428571428,0.05714285714285716,0.96,0.9428571428571428,0.9166666666666667,0.9428571428571428,23,2,0,0.92,1.0,0.9583333333333334,10,0,2,1.0,0.8333333333333334,0.9090909090909091
20,5,0.8333333333333334,0.16666666666666663,0.8246753246753247,0.8333333333333334,0.8246753246753247,0.8333333333333334,19,3,3,0.8636363636363636,0.8636363636363636,0.8636363636363636,11,3,3,0.7857142857142857,0.7857142857142857,0.7857142857142857
25,5,0.8571428571428571,0.1428571428571429,0.8713768115942029,0.8571428571428571,0.8416666666666666,0.8571428571428571,19,4,1,0.8260869565217391,0.95,0.8837209302325583,11,1,4,0.9166666666666666,0.7333333333333333,0.8148148148148148
25,5,0.8571428571428571,0.1428571428571429,0.87,0.8571428571428571,0.8234265734265734,0.8571428571428571,21,4,1,0.84,0.9545454545454546,0.8936170212765958,9,1,4,0.9,0.6923076923076923,0.7826086956521738
25,5,0.9714285714285714,0.02857142857142858,0.9833333333333334,0.9714285714285714,0.9166666666666667,0.9714285714285714,29,1,0,0.9666666666666667,1.0,0.983050847457627,5,0,1,1.0,0.8333333333333334,0.9090909090909091
25,5,0.9142857142857143,0.08571428571428574,0.9148550724637681,0.9142857142857143,0.9003496503496504,0.9142857142857143,21,2,1,0.9130434782608695,0.9545454545454546,0.9333333333333332,11,1,2,0.9166666666666666,0.8461538461538461,0.8799999999999999
25,5,0.9428571428571428,0.05714285714285716,0.9428104575163399,0.9428571428571428,0.9428104575163399,0.9428571428571428,17,1,1,0.9444444444444444,0.9444444444444444,0.9444444444444444,16,1,1,0.9411764705882353,0.9411764705882353,0.9411764705882353
25,5,0.8857142857142857,0.11428571428571432,0.9230769230769231,0.8857142857142857,0.8461538461538461,0.8857142857142857,22,4,0,0.8461538461538461,1.0,0.9166666666666666,9,0,4,1.0,0.6923076923076923,0.8181818181818181
25,5,0.8571428571428571,0.1428571428571429,0.9107142857142857,0.8571428571428571,0.7916666666666667,0.8571428571428571,23,5,0,0.8214285714285714,1.0,0.9019607843137255,7,0,5,1.0,0.5833333333333334,0.7368421052631579
25,5,0.9142857142857143,0.08571428571428574,0.8696581196581197,0.9142857142857143,0.900462962962963,0.9142857142857143,25,1,2,0.9615384615384616,0.9259259259259259,0.9433962264150944,7,2,1,0.7777777777777778,0.875,0.823529411764706
25,5,0.8857142857142857,0.11428571428571432,0.9130434782608696,0.8857142857142857,0.875,0.8857142857142857,19,4,0,0.8260869565217391,1.0,0.9047619047619047,12,0,4,1.0,0.75,0.8571428571428571
25,5,0.9444444444444444,0.05555555555555558,0.96,0.9444444444444444,0.9230769230769231,0.9444444444444444,23,2,0,0.92,1.0,0.9583333333333334,11,0,2,1.0,0.8461538461538461,0.9166666666666666
30,5,0.9142857142857143,0.08571428571428574,0.9128787878787878,0.9142857142857143,0.894927536231884,0.9142857142857143,22,2,1,0.9166666666666666,0.9565217391304348,0.9361702127659574,10,1,2,0.9090909090909091,0.8333333333333334,0.8695652173913043
30,5,0.8571428571428571,0.1428571428571429,0.8194444444444444,0.8571428571428571,0.7948717948717949,0.8571428571428571,24,3,2,0.8888888888888888,0.9230769230769231,0.9056603773584906,6,2,3,0.75,0.6666666666666666,0.7058823529411765
30,5,0.8285714285714286,0.17142857142857137,0.8500000000000001,0.8285714285714286,0.7976190476190477,0.8285714285714286,20,5,1,0.8,0.9523809523809523,0.8695652173913043,9,1,5,0.9,0.6428571428571429,0.75
30,5,0.9714285714285714,0.02857142857142858,0.9772727272727273,0.9714285714285714,0.9642857142857143,0.9714285714285714,21,1,0,0.9545454545454546,1.0,0.9767441860465117,13,0,1,1.0,0.9285714285714286,0.962962962962963
30,5,0.8857142857142857,0.11428571428571432,0.9130434782608696,0.8857142857142857,0.875,0.8857142857142857,19,4,0,0.8260869565217391,1.0,0.9047619047619047,12,0,4,1.0,0.75,0.8571428571428571
30,5,0.9428571428571428,0.05714285714285716,0.96,0.9428571428571428,0.9166666666666667,0.9428571428571428,23,2,0,0.92,1.0,0.9583333333333334,10,0,2,1.0,0.8333333333333334,0.9090909090909091
30,5,0.8285714285714286,0.17142857142857137,0.8482905982905983,0.8285714285714286,0.784965034965035,0.8285714285714286,21,5,1,0.8076923076923077,0.9545454545454546,0.875,8,1,5,0.8888888888888888,0.6153846153846154,0.7272727272727274
30,5,0.9714285714285714,0.02857142857142858,0.9791666666666667,0.9714285714285714,0.9583333333333333,0.9714285714285714,23,1,0,0.9583333333333334,1.0,0.9787234042553191,11,0,1,1.0,0.9166666666666666,0.9565217391304348
30,5,0.9714285714285714,0.02857142857142858,0.9545454545454546,0.9714285714285714,0.98,0.9714285714285714,24,0,1,1.0,0.96,0.9795918367346939,10,1,0,0.9090909090909091,1.0,0.9523809523809523
30,5,0.9444444444444444,0.05555555555555558,0.9583333333333333,0.9444444444444444,0.9285714285714286,0.9444444444444444,22,2,0,0.9166666666666666,1.0,0.9565217391304348,12,0,2,1.0,0.8571428571428571,0.923076923076923
35,5,0.8571428571428571,0.1428571428571429,0.9038461538461539,0.8571428571428571,0.8214285714285714,0.8571428571428571,21,5,0,0.8076923076923077,1.0,0.8936170212765957,9,0,5,1.0,0.6428571428571429,0.782608695652174
35,5,0.8857142857142857,0.11428571428571432,0.8776223776223776,0.8857142857142857,0.8776223776223776,0.8857142857142857,20,2,2,0.9090909090909091,0.9090909090909091,0.9090909090909091,11,2,2,0.8461538461538461,0.8461538461538461,0.8461538461538461
35,5,0.9142857142857143,0.08571428571428574,0.9464285714285714,0.9142857142857143,0.85,0.9142857142857143,25,3,0,0.8928571428571429,1.0,0.9433962264150945,7,0,3,1.0,0.7,0.8235294117647058
35,5,0.9428571428571428,0.05714285714285716,0.9545454545454546,0.9428571428571428,0.9333333333333333,0.9428571428571428,20,2,0,0.9090909090909091,1.0,0.9523809523809523,13,0,2,1.0,0.8666666666666667,0.9285714285714286
35,5,0.9714285714285714,0.02857142857142858,0.9791666666666667,0.9714285714285714,0.9583333333333333,0.9714285714285714,23,1,0,0.9583333333333334,1.0,0.9787234042553191,11,0,1,1.0,0.9166666666666666,0.9565217391304348
35,5,0.9428571428571428,0.05714285714285716,0.9523809523809523,0.9428571428571428,0.9375,0.9428571428571428,19,2,0,0.9047619047619048,1.0,0.9500000000000001,14,0,2,1.0,0.875,0.9333333333333333
35,5,0.9428571428571428,0.05714285714285716,0.96,0.9428571428571428,0.9166666666666667,0.9428571428571428,23,2,0,0.92,1.0,0.9583333333333334,10,0,2,1.0,0.8333333333333334,0.9090909090909091
35,5,0.9142857142857143,0.08571428571428574,0.900462962962963,0.9142857142857143,0.8696581196581197,0.9142857142857143,25,2,1,0.9259259259259259,0.9615384615384616,0.9433962264150944,7,1,2,0.875,0.7777777777777778,0.823529411764706
35,5,0.9428571428571428,0.05714285714285716,0.9545454545454546,0.9428571428571428,0.9333333333333333,0.9428571428571428,20,2,0,0.9090909090909091,1.0,0.9523809523809523,13,0,2,1.0,0.8666666666666667,0.9285714285714286
35,5,0.8888888888888888,0.11111111111111116,0.8615384615384616,0.8888888888888888,0.8615384615384616,0.8888888888888888,24,2,2,0.9230769230769231,0.9230769230769231,0.9230769230769231,8,2,2,0.8,0.8,0.8000000000000002
40,5,1.0,0.0,1.0,1.0,1.0,1.0,19,0,0,1.0,1.0,1.0,16,0,0,1.0,1.0,1.0
40,5,0.8571428571428571,0.1428571428571429,0.8500000000000001,0.8571428571428571,0.8571428571428571,0.8571428571428571,18,2,3,0.9,0.8571428571428571,0.8780487804878048,12,3,2,0.8,0.8571428571428571,0.8275862068965518
40,5,0.9142857142857143,0.08571428571428574,0.91,0.9142857142857143,0.8882575757575758,0.9142857142857143,23,2,1,0.92,0.9583333333333334,0.9387755102040817,9,1,2,0.9,0.8181818181818182,0.8571428571428572
40,5,0.9428571428571428,0.05714285714285716,0.9583333333333333,0.9428571428571428,0.9230769230769231,0.9428571428571428,22,2,0,0.9166666666666666,1.0,0.9565217391304348,11,0,2,1.0,0.8461538461538461,0.9166666666666666
40,5,0.8571428571428571,0.1428571428571429,0.9038461538461539,0.8571428571428571,0.8214285714285714,0.8571428571428571,21,5,0,0.8076923076923077,1.0,0.8936170212765957,9,0,5,1.0,0.6428571428571429,0.782608695652174
40,5,0.9428571428571428,0.05714285714285716,0.9615384615384616,0.9428571428571428,0.9090909090909092,0.9428571428571428,24,2,0,0.9230769230769231,1.0,0.9600000000000001,9,0,2,1.0,0.8181818181818182,0.9
40,5,0.9428571428571428,0.05714285714285716,0.962962962962963,0.9428571428571428,0.9,0.9428571428571428,25,2,0,0.9259259259259259,1.0,0.9615384615384615,8,0,2,1.0,0.8,0.888888888888889
40,5,0.8571428571428571,0.1428571428571429,0.9,0.8571428571428571,0.8333333333333333,0.8571428571428571,20,5,0,0.8,1.0,0.888888888888889,10,0,5,1.0,0.6666666666666666,0.8
40,5,0.8857142857142857,0.11428571428571432,0.8674242424242424,0.8857142857142857,0.8674242424242424,0.8857142857142857,22,2,2,0.9166666666666666,0.9166666666666666,0.9166666666666666,9,2,2,0.8181818181818182,0.8181818181818182,0.8181818181818182
40,5,0.9444444444444444,0.05555555555555558,0.962962962962963,0.9444444444444444,0.9090909090909092,0.9444444444444444,25,2,0,0.9259259259259259,1.0,0.9615384615384615,9,0,2,1.0,0.8181818181818182,0.9
45,5,0.9142857142857143,0.08571428571428574,0.9423076923076923,0.9142857142857143,0.875,0.9142857142857143,23,3,0,0.8846153846153846,1.0,0.9387755102040816,9,0,3,1.0,0.75,0.8571428571428571
45,5,0.8857142857142857,0.11428571428571432,0.9310344827586207,0.8857142857142857,0.8,0.8857142857142857,25,4,0,0.8620689655172413,1.0,0.9259259259259259,6,0,4,1.0,0.6,0.7499999999999999
