tree_amount,attribute_amount,accuracy,error_rate,precision_macro,precision_micro,recall_macro,recall_micro,labels_1_vp,labels_1_fp,labels_1_fn,labels_1_precision,labels_1_recall,labels_1_f_measure,labels_2_vp,labels_2_fp,labels_2_fn,labels_2_precision,labels_2_recall,labels_2_f_measure,labels_3_vp,labels_3_fp,labels_3_fn,labels_3_precision,labels_3_recall,labels_3_f_measure
10,3,1.0,0.0,1.0,1.0,1.0,1.0,5,0,0,1.0,1.0,1.0,4,0,0,1.0,1.0,1.0,8,0,0,1.0,1.0,1.0
10,3,0.9411764705882353,0.05882352941176472,0.9333333333333332,0.9411764705882353,0.9523809523809524,0.9411764705882353,6,0,0,1.0,1.0,1.0,6,0,1,1.0,0.8571428571428571,0.923076923076923,4,1,0,0.8,1.0,0.888888888888889
10,3,1.0,0.0,1.0,1.0,1.0,1.0,7,0,0,1.0,1.0,1.0,7,0,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0
10,3,0.8823529411764706,0.11764705882352944,0.8690476190476191,0.8823529411764706,0.9166666666666666,0.8823529411764706,6,1,0,0.8571428571428571,1.0,0.923076923076923,6,0,2,1.0,0.75,0.8571428571428571,3,1,0,0.75,1.0,0.8571428571428571
10,3,0.8823529411764706,0.11764705882352944,0.8777777777777779,0.8823529411764706,0.9166666666666666,0.8823529411764706,4,1,0,0.8,1.0,0.888888888888889,6,0,2,1.0,0.75,0.8571428571428571,5,1,0,0.8333333333333334,1.0,0.9090909090909091
10,3,1.0,0.0,1.0,1.0,1.0,1.0,6,0,0,1.0,1.0,1.0,5,0,0,1.0,1.0,1.0,6,0,0,1.0,1.0,1.0
10,3,0.8823529411764706,0.11764705882352944,0.8472222222222222,0.8823529411764706,0.8472222222222222,0.8823529411764706,2,1,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,7,1,1,0.875,0.875,0.875,6,0,0,1.0,1.0,1.0
10,3,1.0,0.0,1.0,1.0,1.0,1.0,7,0,0,1.0,1.0,1.0,9,0,0,1.0,1.0,1.0,1,0,0,1.0,1.0,1.0
10,3,0.9411764705882353,0.05882352941176472,0.9166666666666666,0.9411764705882353,0.9523809523809524,0.9411764705882353,3,1,0,0.75,1.0,0.8571428571428571,6,0,1,1.0,0.8571428571428571,0.923076923076923,7,0,0,1.0,1.0,1.0
10,3,0.96,0.040000000000000036,0.9444444444444445,0.96,0.9583333333333334,0.96,12,0,0,1.0,1.0,1.0,7,0,1,1.0,0.875,0.9333333333333333,5,1,0,0.8333333333333334,1.0,0.9090909090909091
